id,car_name,yr_mfr,date_mfr,fuel_type,kms_run,sale_price,city,times_viewed,body_type,transmission,variant,assured_buy,emi_starts_from,booking_down_pymnt,total_owners
29,volkswagen polo,2011,2021-02-08T07:56:46.898,petrol,50372,305099,mumbai,1219,hatchback,manual,highline1.2l petrol,TRUE,7087,45765,2
30,mahindra scorpio,2014,2021-04-16T10:09:32.304,diesel,156184,830699,mumbai,957,suv,manual,s10,FALSE,19295,124605,1
31,maruti swift dzire,2013,2021-01-08T06:34:14.988,diesel,59531,504899,bengaluru,1016,sedan,manual,zdi,FALSE,11728,75735,1
32,tata nano,2010,2021-03-31T06:14:55.961,petrol,9278,89099,bengaluru,5908,hatchback,manual,lx,TRUE,2070,13365,1
33,maruti vitara brezza,2016,2021-03-20T13:13:53.406,diesel,25881,802199,ahmedabad,709,suv,manual,zdi plus dual tone,TRUE,18633,120330,1
34,jeep compass,2017,2021-02-19T16:18:49.301,diesel,25491,1389758,mumbai,2578,luxury suv,manual,2.0 limited,TRUE,32281,208464,2
35,renault kwid,2019,2021-02-15T13:18:41.702,petrol,1222,397799,mumbai,3254,hatchback,manual,rxt opt,FALSE,9240,59670,1
36,honda city,2011,2021-04-15T10:03:24.426,petrol,80062,394099,pune,1387,sedan,automatic,v at,TRUE,9154,59115,1
37,maruti baleno,2017,2021-03-26T09:01:52.18,petrol,76112,564299,mumbai,469,hatchback,,rs 1.0 petrol,TRUE,13107,84645,1
38,maruti swift,2017,2021-04-21T11:34:14.444,petrol,29996,546199,hyderabad,1290,hatchback,manual,vxi opt,TRUE,12687,81930,2
39,honda jazz,2010,2021-03-08T07:05:16.009,petrol,49945,288499,new delhi,584,hatchback,manual,1.2 base i vtec,TRUE,6701,43275,1
40,maruti omni e,2017,2021-03-16T12:39:54.908,petrol,13072,349299,chennai,811,,,8 str,TRUE,8113,52395,1
41,honda amaze,2018,2021-02-10T06:24:21.266,petrol,28944,570399,bengaluru,1858,sedan,manual,1.2 smt i vtec,TRUE,13249,85560,1
42,maruti ciaz,2014,2021-04-21T17:22:45.413,diesel,162517,541499,mumbai,288,sedan,manual,zdi,TRUE,12578,81225,1
43,maruti eeco,2016,2021-01-18T09:34:16.915,petrol & cng,81717,240899,new delhi,2332,suv,,5 str with ac plus htr,TRUE,5595,36135,1
44,hyundai i10,2013,2020-11-15T00:30:01.353,petrol,23298,443099,bengaluru,573,hatchback,automatic,sportz 1.2 at kappa2,TRUE,10292,66465,1
45,hyundai verna,2016,2021-04-02T05:33:58.632,diesel,107150,694399,pune,2774,sedan,automatic,fluidic 1.6 crdi  s at,FALSE,16129,104160,1
46,ford figo,2010,2019-09-10T08:21:46.245,diesel,82800,180000,pune,299,hatchback,manual,1.4 exi duratorq,TRUE,4181,27000,3
47,hyundai i20,2011,2021-04-11T08:40:01.673,petrol,58055,416299,bengaluru,404,hatchback,manual,asta 1.2,TRUE,9670,62445,1
48,honda city zx,2007,2021-04-11T11:39:55.798,petrol,155004,141399,gurgaon,5819,sedan,manual,gxi,TRUE,3284,21210,2
49,ford ecosport,2013,2020-05-25T10:05:42.556,petrol,63466,500000,bengaluru,272,suv,manual,1.0 ecoboost titanium,FALSE,11614,75000,1
50,hyundai i10,2012,2021-03-24T06:09:33.716,petrol,72110,237199,gurgaon,577,hatchback,manual,magna 1.2 kappa2,TRUE,5510,35580,2
51,hyundai elite i20,2016,2021-02-27T13:36:46.715,petrol,14894,560999,bengaluru,1536,hatchback,manual,magna 1.2,TRUE,13031,84150,2
52,maruti ertiga,2015,2021-03-07T09:17:31.587,petrol,66221,616799,mumbai,512,suv,manual,vxi,TRUE,14327,92520,1
53,maruti eeco,2019,2021-04-17T11:06:47.812,petrol,15028,465599,chennai,442,suv,manual,5 str with ac plushtr,TRUE,10815,69840,1
54,maruti wagon r 1.0,2015,2020-12-12T11:52:06.598,petrol,31796,386799,bengaluru,1075,hatchback,manual,vxi,TRUE,8984,58020,1
55,toyota etios,2013,2021-03-12T13:53:13.154,diesel,96343,382799,pune,1905,sedan,manual,vd sp,FALSE,8891,57420,2
56,maruti ignis,2017,2021-03-02T07:59:56.115,petrol,34470,377299,faridabad,913,hatchback,manual,delta 1.2 k12,TRUE,8764,56595,2
57,tata safari storme,2015,2021-03-22T14:33:35.999,diesel,135250,626999,lucknow,5477,suv,manual,2.2 ex 4x2,TRUE,14564,94050,2
58,maruti alto 800,2016,2021-04-17T11:51:31.354,petrol,27100,336699,bengaluru,355,hatchback,manual,lxi,TRUE,7821,50505,1
59,maruti swift dzire,2015,2021-03-07T11:43:09.474,diesel,62761,567199,chennai,835,sedan,manual,zdi,TRUE,13175,85080,1
60,maruti swift,2016,2021-02-17T12:59:09.721,diesel,73401,520499,chennai,889,hatchback,manual,vdi abs,FALSE,12090,78075,1
61,hyundai i10,2007,2021-04-11T06:06:59.068,petrol,86033,249599,hyderabad,339,hatchback,manual,era,TRUE,5798,37440,2
62,maruti wagon r 1.0,2018,2021-04-20T13:58:47.154,petrol & cng,8452,487499,mumbai,1192,hatchback,manual,lxi cng,TRUE,11323,73125,1
63,maruti celerio,2014,2021-04-21T15:17:49.298,petrol,32033,419199,mumbai,73,hatchback,automatic,vxi amt,TRUE,9737,62880,1
64,toyota innova crysta,2017,2021-03-06T08:11:55.963,diesel,88398,1248358,noida,3277,suv,manual,2.4 gx 7 str,TRUE,28996,187254,2
65,hyundai xcent,2015,2021-01-28T10:08:16.965,diesel,89930,340199,ghaziabad,1832,sedan,manual,sx 1.1 crdi,TRUE,7902,51030,1
66,maruti swift,2012,2021-02-13T09:12:52.493,diesel,62307,410599,hyderabad,3864,hatchback,manual,vdi,TRUE,9537,61590,1
67,maruti swift dzire,2012,2021-03-14T08:15:13.014,petrol,83548,366799,lucknow,2427,sedan,manual,vxi 1.2 bs iv,TRUE,8520,55020,1
68,maruti ertiga,2014,2021-03-13T19:28:22.343,petrol & cng,99514,571799,mumbai,1391,suv,manual,vxi cng,TRUE,13281,85770,1
69,tata tigor,2018,2021-03-24T08:09:59.511,diesel,49270,438299,hyderabad,3782,sedan,,xm revotorq,TRUE,10181,65745,1
70,hyundai creta,2019,2021-03-23T13:10:00.743,diesel,13212,1447530,new delhi,3796,suv,,1.6 sx at crdi,TRUE,33622,217130,1
71,hyundai i20,2013,2021-01-12T09:42:04.567,diesel,51472,415699,bengaluru,2572,hatchback,manual,magna o 1.4 crdi,TRUE,9656,62355,1
72,maruti wagon r 1.0,2018,2021-03-23T14:00:00.882,petrol & cng,52539,401799,noida,3716,hatchback,manual,vxi,TRUE,9333,60270,1
73,maruti wagon r,2007,2021-03-20T12:36:40.548,petrol,117800,182199,hyderabad,1552,hatchback,manual,lxi,TRUE,4232,27330,2
74,maruti zen estilo,2007,2019-12-01T05:46:12.54,petrol & cng,110646,89000,ghaziabad,186,hatchback,manual,lxi,FALSE,2067,13350,2
75,maruti wagon r 1.0,2012,2021-04-18T08:54:09.395,petrol,31540,312499,mumbai,136,hatchback,manual,vxi,FALSE,7259,46875,1
76,toyota innova crysta,2018,2021-04-04T04:56:42.915,diesel,61729,1490758,ahmedabad,2404,suv,automatic,2.8 gx at 8 str,FALSE,34627,223614,1
77,toyota innova,2012,2020-08-22T12:57:17.706,diesel,103935,639499,gurgaon,817,suv,manual,2.5 vx 7 str bs iv,TRUE,14854,95925,2
78,hyundai santro xing,2007,2021-03-03T11:02:14.17,petrol,64809,102499,new delhi,6268,hatchback,manual,xo erlx euro iii,TRUE,2381,15375,2
79,honda city,2015,2020-12-11T11:00:05.085,petrol,36119,673999,pune,2840,sedan,automatic,vx cvt petrol,TRUE,15655,101100,1
80,ford fiesta,2008,2019-03-07T07:49:13.256,diesel,114310,111000,ahmedabad,920,sedan,manual,1.4 sxi tdci abs,FALSE,2578,16650,2
81,hyundai eon,2015,2021-03-19T11:55:07.817,petrol,43748,267899,bengaluru,1376,hatchback,manual,era plus,TRUE,6223,40185,3
82,tata tigor,2017,2021-04-17T08:55:48.589,petrol,26386,491499,pune,2254,sedan,manual,xz 1.2 revotron opt,FALSE,11416,73725,2
83,hyundai grand i10,2014,2021-03-11T09:45:09.173,petrol,51206,371899,ahmedabad,753,hatchback,manual,sportz 1.2 kappa vtvt,TRUE,8638,55785,1
84,hyundai elite i20,2018,2021-04-20T13:58:11.362,diesel,33080,726099,mumbai,699,hatchback,manual,asta 1.4 crdi,TRUE,16865,108915,1
85,hyundai verna,2020,2021-04-01T12:38:21.922,petrol,22747,1112008,ahmedabad,3500,sedan,,sx petrol at,TRUE,25829,166802,1
86,maruti ertiga,2013,2021-03-19T08:10:49.472,diesel,97585,595999,bengaluru,957,suv,manual,zdi,TRUE,13844,89400,1
87,ford freestyle,2018,2021-04-07T14:18:51,petrol,20175,509099,ghaziabad,2240,,,titanium 1.2 ti-vct,TRUE,11825,76365,1
88,maruti ciaz,2015,2020-12-21T00:00:05.112,diesel,78595,444499,noida,2496,sedan,manual,vdi plus,TRUE,10325,66675,1
89,maruti swift,2016,2021-04-09T06:59:47.973,petrol,36179,367999,new delhi,1510,hatchback,manual,lxi opt,TRUE,8548,55200,1
90,jeep compass,2018,2021-04-04T10:06:45.463,diesel,62683,1367538,ahmedabad,2539,luxury suv,manual,2.0 limited,FALSE,31764,205131,1
91,maruti sx4,2010,2021-04-05T07:59:31.731,petrol,58590,227099,mumbai,574,sedan,manual,vxi,TRUE,5275,34065,2
92,mahindra kuv100,2016,2021-04-05T12:10:00.065,petrol,28640,328099,new delhi,2219,suv,manual,k4 6 str,TRUE,7621,49215,1
93,honda brio,2012,2021-02-08T11:05:48.009,petrol,30254,302799,mumbai,345,hatchback,manual,1.2 s mt i vtec,TRUE,7033,45420,1
94,hyundai grand i10,2018,2021-03-30T11:16:16.508,petrol,14673,450399,gurgaon,1698,hatchback,manual,magna 1.2 kappa vtvt,TRUE,10462,67560,1
95,maruti swift dzire,2012,2021-03-27T11:01:28.283,petrol,121979,359899,ahmedabad,277,sedan,manual,vxi 1.2 bs iv,TRUE,8360,53985,1
96,toyota innova,2014,2021-02-03T14:53:09.846,diesel,227391,1129683,bengaluru,1189,suv,manual,2.5 vx 7 str bs iv,FALSE,26240,169453,1
97,mahindra xylo,2010,2019-08-22T13:56:42.138,diesel,132687,200000,ahmedabad,220,suv,manual,d2 bs iv,TRUE,4646,30000,1
98,honda city,2014,2021-04-12T09:55:00.159,petrol,104666,493399,gurgaon,781,sedan,manual,v mt petrol,TRUE,11460,74010,2
99,ford ecosport,2015,2021-03-18T05:10:11.3,petrol,110966,490999,new delhi,1503,suv,manual,1.5ambiente ti vct,TRUE,11405,73650,1
100,maruti alto,2010,2021-01-11T08:29:00.5,petrol,71122,234399,bengaluru,537,hatchback,manual,lxi,TRUE,5444,35160,2
101,hyundai i10,2009,2021-04-06T03:54:08.031,petrol,68132,174099,pune,3567,hatchback,manual,sportz 1.2,FALSE,4044,26115,3
102,maruti swift dzire,2015,2021-01-27T14:05:45.547,petrol,80800,481199,bengaluru,1185,sedan,manual,zxi 1.2 bs iv,TRUE,11177,72180,3
103,maruti wagon r 1.0,2018,2021-03-24T15:38:17.481,petrol & cng,9582,465699,mumbai,1942,hatchback,manual,lxi cng,TRUE,10817,69855,1
104,maruti ertiga,2019,2021-03-13T14:29:59.014,petrol,22770,1011199,pune,2751,suv,,zxi plus shvs,TRUE,23488,151680,1
105,maruti alto 800,2012,2021-04-07T11:38:29.84,petrol,40911,269599,bengaluru,356,hatchback,manual,lxi,TRUE,6262,40440,2
106,hyundai elite i20,2019,2021-03-09T12:40:40.967,petrol,8781,782899,bengaluru,1677,hatchback,,1.2 sportz plus dual tone vtvt,TRUE,18185,117435,1
107,maruti swift,2012,2021-04-02T06:34:09.824,diesel,84213,324199,gurgaon,504,hatchback,manual,vdi,TRUE,7530,48630,1
108,maruti swift,2019,2021-02-05T14:16:31.797,petrol,5419,574999,ahmedabad,2798,hatchback,manual,vxi,TRUE,13356,86250,1
109,hyundai i10,2009,2021-02-01T10:46:37.539,petrol,85240,151999,pune,1482,hatchback,manual,magna 1.2,TRUE,3531,22800,1
110,honda civic,2010,2021-03-27T06:06:23.17,petrol,168462,270099,pune,2154,sedan,manual,1.8s mt,TRUE,6274,40515,1
111,hyundai santro xing,2008,2021-03-30T11:45:51.085,petrol,29650,157299,pune,4162,hatchback,manual,gls,TRUE,3654,23595,2
112,maruti swift dzire,2012,2021-03-09T17:20:16.407,diesel,79396,373799,new delhi,1344,sedan,manual,zdi,TRUE,8682,56070,1
113,chevrolet spark,2010,2021-03-11T10:52:23.316,petrol,71080,237399,bengaluru,552,hatchback,manual,lt 1.0,FALSE,5514,35610,1
114,hyundai verna,2015,2021-03-11T12:06:45.261,diesel,70207,766599,bengaluru,2254,sedan,automatic,fluidic 1.6 crdi sx at,FALSE,17806,114990,1
115,honda amaze,2013,2019-10-06T05:12:10.708,diesel,132070,250000,noida,172,sedan,manual,1.5 smt i dtec,TRUE,5807,37500,1
116,mahindra kuv100,2016,2021-04-03T07:07:34.17,diesel,62601,333799,ghaziabad,1542,suv,manual,k8 d 5 str,TRUE,7753,50070,1
117,honda city,2015,2019-08-22T13:04:50.832,diesel,110600,600000,pune,31,sedan,manual,v mt diesel,TRUE,13937,90000,1
118,hyundai i10,2012,2021-03-15T14:41:48.381,petrol,71853,336999,chennai,163,hatchback,manual,magna 1.2 kappa2,TRUE,7828,50550,2
119,hyundai i20,2014,2021-01-03T09:23:58.668,diesel,56549,340699,ghaziabad,2055,hatchback,manual,magna o 1.4 crdi,TRUE,7914,51105,1
120,hyundai grand i10,2015,2021-02-27T10:14:03.763,petrol,2546,563799,bengaluru,658,hatchback,manual,asta 1.2 (o) vtvt,TRUE,13096,84570,1
121,hyundai accent,2012,2021-03-04T11:59:16.557,petrol,170597,197799,new delhi,3748,sedan,manual,executive gle,TRUE,4594,29670,1
122,maruti alto k10,2013,2021-02-22T13:24:24.63,petrol,81944,257299,hyderabad,571,hatchback,manual,vxi,TRUE,5976,38595,1
123,hyundai i20,2009,2021-04-01T05:47:42.818,petrol & cng,119627,240899,mumbai,1389,hatchback,manual,asta 1.2,FALSE,5595,36135,2
124,hyundai santro xing,2011,2021-03-14T05:12:07.268,petrol,47989,227199,chennai,2130,hatchback,manual,gls,TRUE,5277,34080,2
125,hyundai creta,2015,2021-02-19T07:45:33.778,diesel,55867,916099,hyderabad,2990,suv,manual,1.6 sx plus diesel,TRUE,21279,137415,1
126,toyota innova,2010,2021-03-05T17:35:46.621,diesel,150832,582199,mumbai,1205,suv,manual,2.5 v 8 str,FALSE,13523,87330,1
127,renault kwid,2016,2021-04-03T06:28:21.052,petrol,23226,265699,faridabad,3001,hatchback,manual,rxt,TRUE,6172,39855,1
128,honda city,2013,2021-01-28T10:41:12.566,petrol,68016,424499,ghaziabad,2403,sedan,manual,v mt petrol,TRUE,9860,63675,1
129,maruti ciaz,2014,2021-03-16T18:15:10.106,diesel,103397,442899,new delhi,1628,sedan,manual,zdi,TRUE,10287,66435,1
130,maruti eeco,2019,2021-02-24T12:15:39.454,petrol & cng,5715,386499,noida,3447,suv,manual,5 str cng with ac plushtr,TRUE,8977,57975,1
131,hyundai i10,2009,2021-02-23T07:18:46.752,petrol,65198,169299,mumbai,2043,hatchback,manual,magna 1.2,TRUE,3932,25395,2
132,mahindra xuv500,2015,2021-03-07T08:43:29.134,diesel,92400,858799,gurgaon,1039,luxury suv,manual,w10,TRUE,19948,128820,2
133,volkswagen vento,2014,2021-01-20T06:10:41.973,diesel,82081,310299,new delhi,1428,sedan,manual,comfortline diesel,TRUE,7207,46545,1
134,maruti celerio,2015,2021-03-19T05:43:29.904,petrol,7187,455899,bengaluru,849,hatchback,automatic,vxi amt,FALSE,10589,68385,1
135,maruti celerio,2016,2021-04-05T17:41:50.172,petrol & cng,95404,411599,mumbai,576,hatchback,manual,vxi cng,TRUE,9560,61740,1
136,maruti ritz,2009,2021-04-01T12:40:55.383,petrol,53231,275299,hyderabad,801,hatchback,manual,vxi,TRUE,6395,41295,1
137,ford ecosport,2015,2021-03-19T08:08:54.707,petrol,52758,640299,noida,1095,suv,automatic,1.5 titanium ti vct at,TRUE,14873,96045,2
138,maruti ertiga,2012,2021-03-21T15:33:44.477,diesel,242900,521099,mumbai,196,suv,manual,vdi abs,TRUE,12104,78165,1
139,maruti baleno,2017,2020-03-28T06:55:41.538,petrol,49405,674199,bengaluru,663,hatchback,automatic,zeta 1.2 k12 amt,TRUE,15660,101130,2
140,maruti alto k10,2014,2021-03-24T11:38:06.813,petrol,66079,347099,bengaluru,283,hatchback,manual,vxi,TRUE,8062,52065,1
141,maruti celerio,2016,2021-04-21T12:33:54.68,petrol,48395,461299,bengaluru,355,hatchback,automatic,zxi opt amt,TRUE,10715,69195,1
142,maruti wagon r duo,2008,2021-04-03T14:57:46.625,petrol & lpg,69982,193499,chennai,511,hatchback,manual,lxi lpg,TRUE,4494,29025,1
143,tata hexa,2019,2021-04-16T10:46:37.391,diesel,46337,1914453,chennai,1300,suv,manual,varicor 400 xt,TRUE,44468,287168,1
144,honda city,2014,2021-03-17T09:42:55.353,diesel,110899,620199,chennai,1172,sedan,manual,vx mt diesel,TRUE,14406,93030,1
145,maruti celerio,2016,2021-04-08T13:59:47.487,petrol,83735,461099,chennai,179,hatchback,automatic,zxi amt,TRUE,10710,69165,1
146,maruti wagon r 1.0,2011,2021-04-06T10:15:37.442,petrol,30640,266399,pune,693,hatchback,manual,lxi,TRUE,6188,39960,1
147,ford ecosport,2014,2021-04-02T07:47:12.176,petrol,29000,464499,mumbai,1940,suv,manual,1.5 trend ti vct,FALSE,10789,69675,2
148,maruti baleno,2016,2021-04-15T09:31:10.876,petrol,36146,570599,hyderabad,1456,hatchback,automatic,delta 1.2 k12 amt,TRUE,13254,85590,2
149,honda civic,2010,2019-03-15T11:10:57.966,petrol,60291,270000,ghaziabad,249,sedan,automatic,1.8v at,FALSE,6271,40500,1
150,maruti ritz,2011,2021-04-05T11:15:51.786,petrol,76919,251199,new delhi,375,hatchback,manual,vxi bs iv,TRUE,5835,37680,1
151,ford figo,2012,2021-04-17T04:18:32.054,petrol,45635,238099,pune,1751,hatchback,manual,1.2 titanium duratec,FALSE,5530,35715,1
152,maruti vitara brezza,2017,2020-12-31T11:47:03.305,diesel,51514,668999,mumbai,959,suv,manual,ldi,TRUE,15539,100350,1
153,maruti ciaz,2018,2021-03-11T11:41:45.578,diesel,72536,674299,chennai,1366,sedan,manual,delta 1.3 ddis shvs,TRUE,15662,101145,1
154,maruti celerio,2018,2021-04-19T11:49:19.755,petrol & cng,84119,423899,hyderabad,726,hatchback,manual,vxi,TRUE,9846,63585,1
155,mahindra xuv500,2016,2020-11-25T15:00:01.101,diesel,105691,920999,pune,204,luxury suv,,w10 fwd,TRUE,21393,138150,1
156,tata tigor,2018,2021-04-16T13:53:59.06,petrol,3399,571199,mumbai,853,sedan,manual,xz 1.2 revotron,TRUE,13268,85680,1
157,maruti wagon r 1.0,2010,2021-03-15T12:48:04.658,petrol,71422,210099,new delhi,296,hatchback,manual,lxi,TRUE,4880,31515,2
158,maruti swift,2014,2021-03-03T10:02:57.766,petrol,80728,362899,mumbai,978,hatchback,manual,vxi,TRUE,8429,54435,1
159,maruti eeco,2016,2021-02-26T07:59:59.246,petrol,38114,392099,bengaluru,509,suv,manual,5 str with ac plushtr,TRUE,9107,58815,1
160,honda accord,2009,2020-08-16T16:32:19.279,petrol & cng,103556,210000,new delhi,390,sedan,manual,2.4 mt,TRUE,4878,31500,5
161,hyundai new elantra,2017,2021-03-27T14:32:49.373,diesel,35617,1134935,mumbai,5414,luxury sedan,automatic,1.6 sx at o,FALSE,26362,170241,2
162,maruti swift dzire,2015,2021-02-04T07:03:31.282,petrol,45865,437299,bengaluru,1533,sedan,manual,lxi 1.2 bs iv,TRUE,10157,65595,1
163,maruti swift,2008,2021-03-08T09:15:07.44,petrol,75701,180599,mumbai,2208,hatchback,manual,vxi 1.3,TRUE,4195,27090,2
164,maruti s cross,2018,2021-03-23T05:16:08,diesel,57069,769599,new delhi,1554,suv,,zeta 1.3 shvs,TRUE,17876,115440,1
165,maruti wagon r 1.0,2011,2021-03-19T10:33:39.843,petrol,126386,326599,bengaluru,305,hatchback,manual,vxi,FALSE,7586,48990,1
166,mercedes benz e class,2012,2021-02-09T13:39:58.476,diesel,53597,1047570,new delhi,2491,luxury sedan,,e 220 cdi classic,TRUE,24332,157136,2
167,ford figo,2010,2021-03-08T10:35:44.861,diesel,128317,187099,pune,2876,hatchback,manual,1.4 zxi duratorq,TRUE,4346,28065,2
168,maruti swift,2018,2021-03-26T06:37:47.583,petrol,57889,691299,bengaluru,903,hatchback,automatic,zxi amt,TRUE,16057,103695,1
169,mahindra xuv 3oo,2019,2021-03-02T14:16:46.341,diesel,16746,1154428,mumbai,2376,suv,,w8(o),FALSE,26814,173165,1
170,maruti alto 800,2014,2021-03-12T06:41:21.536,petrol,48657,272899,bengaluru,403,hatchback,manual,lxi,TRUE,6339,40935,1
171,maruti wagon r 1.0,2011,2021-03-17T14:50:58.136,petrol & cng,72151,253799,mumbai,1983,hatchback,manual,vxi,FALSE,5895,38070,2
172,toyota corolla altis,2010,2021-03-26T07:29:31.362,petrol,85763,287299,mumbai,816,luxury sedan,,1.8 j,TRUE,6673,43095,3
173,audi a6,2012,2021-03-06T13:20:44.614,diesel,29177,1184223,faridabad,4913,luxury sedan,automatic,2.0 tdi,TRUE,27507,177634,1
174,maruti alto,2009,2021-03-31T10:29:06.279,petrol,54904,185599,hyderabad,1169,hatchback,manual,lxi,TRUE,4311,27840,1
175,volkswagen ameo,2016,2021-04-03T05:10:40.702,petrol,43771,460099,pune,1460,sedan,manual,highline 1.2,TRUE,10687,69015,1
176,maruti wagon r 1.0,2016,2020-07-29T11:56:57.046,petrol,111279,295000,new delhi,119,hatchback,manual,lxi,TRUE,6852,44250,1
177,maruti vitara brezza,2016,2021-03-31T14:08:45.076,diesel,52520,595999,new delhi,4066,suv,manual,vdi,TRUE,13844,89400,2
178,maruti vitara brezza,2017,2021-03-25T05:25:52.249,diesel,59023,604999,new delhi,3855,suv,manual,vdi opt,TRUE,14053,90750,2
179,maruti swift dzire,2015,2021-03-31T13:21:06.124,petrol,41516,448399,new delhi,831,sedan,,vxi regalia,TRUE,10415,67260,1
180,hyundai xcent,2014,2019-03-22T13:00:26.87,petrol,51147,375000,ghaziabad,41,sedan,manual,s 1.2,FALSE,8710,56250,1
181,volkswagen polo,2015,2020-10-24T10:57:38.773,petrol,35743,622599,bengaluru,5297,hatchback,automatic,gt tsi 1.2 petrol at,TRUE,14461,93390,1
182,volkswagen vento,2012,2021-01-20T06:02:09.772,diesel,52977,367799,chennai,8118,sedan,manual,highline diesel,TRUE,8543,55170,2
183,maruti eeco,2020,2021-04-05T13:44:54.501,petrol,7449,472799,ahmedabad,838,suv,manual,5 str with ac plushtr,TRUE,10982,70920,1
184,maruti ritz,2011,2021-03-10T13:51:10.362,petrol,39325,286099,new delhi,430,hatchback,manual,vxi bs iv,TRUE,6645,42915,1
185,maruti ciaz,2018,2021-03-23T12:50:13.484,petrol,3330,839099,bengaluru,1600,sedan,,1.4 s,TRUE,19490,125865,1
186,mahindra tuv300,2016,2021-03-13T12:09:05.895,diesel,60135,671999,bengaluru,2435,suv,automatic,t8 at,TRUE,15609,100800,2
187,maruti alto k10,2014,2020-11-05T04:04:21.866,petrol,22656,306999,bengaluru,822,hatchback,manual,vxi,TRUE,7131,46050,1
